username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IsabelleRibeiro;2016-03-30 15:15;0;2;"Obrigada polo apoio de todos! Essa é a página oficial do #Aluísio , pra acompanhar as novidades! #MasterChefBR https://www. facebook.com/aluisionahime/";;;#Alu #MasterChefBR;"715241042233200640";https://twitter.com/IsabelleRibeiro/status/715241042233200640
ana_cardoson;2016-03-30 15:15;0;0;"Vim olhar as atualizações do @masterchefbr e vi que TODOS os meus favoritos passaram na prova de ontem. Quanto amor gente! #masterchefbr";;@masterchefbr;#masterchefbr;"715240950948343810";https://twitter.com/ana_cardoson/status/715240950948343810
Bandiva1;2016-03-30 15:12;0;0;"Conheça os concorrentes do #MasterChefBR 3 da @BandTV no @portaldaband aqui➛ http:// entretenimento.band.uol.com.br/masterchef/201 6/concorrentes/ …";;@BandTV @portaldaband;#MasterChefBR;"715240287057100800";https://twitter.com/Bandiva1/status/715240287057100800
facIubeband;2016-03-30 15:12;0;0;"Conheça os concorrentes do #MasterChefBR 3 da @BandTV no @portaldaband aqui➛ http:// entretenimento.band.uol.com.br/masterchef/201 6/concorrentes/ …";;@BandTV @portaldaband;#MasterChefBR;"715240286960615424";https://twitter.com/facIubeband/status/715240286960615424
bbiaalcantara;2016-03-30 15:11;0;1;"Gente, me diz se essa @gabi_lila q enfileirou as cascas dos ovos! Quero torcer p/ela e pro Lee, óbvio! #MasterChefBR";;@gabi_lila;#MasterChefBR;"715240053438615552";https://twitter.com/bbiaalcantara/status/715240053438615552
Bandiva1;2016-03-30 15:10;0;0;"#MasterChefBR Veja os números e curiosidades do booty camp. @BandTV + no @portaldaband aqui➛ http:// entretenimento.band.uol.com.br/masterchef/201 6/noticias/100000799819/veja-os-numeros-e-as-curiosidades-do-booty-camp.html …";;@BandTV @portaldaband;#MasterChefBR;"715239842452471809";https://twitter.com/Bandiva1/status/715239842452471809
facIubeband;2016-03-30 15:10;0;0;"#MasterChefBR Veja os números e curiosidades do booty camp. @BandTV + no @portaldaband aqui➛ http:// entretenimento.band.uol.com.br/masterchef/201 6/noticias/100000799819/veja-os-numeros-e-as-curiosidades-do-booty-camp.html …";;@BandTV @portaldaband;#MasterChefBR;"715239842309881856";https://twitter.com/facIubeband/status/715239842309881856
Bandiva1;2016-03-30 15:08;0;0;"Jiang e Raul comentam o 3º Ep de #MasterChefBR 3 da @BandTV ! + no @portaldaband aqui➛ http:// entretenimento.band.uol.com.br/masterchef/201 6/videos/ultimos-videos/15814573/quentinha-jiang-e-raul-comentam-o-terceiro-episodio-do-masterchef-.html …";;@BandTV @portaldaband;#MasterChefBR;"715239286409400322";https://twitter.com/Bandiva1/status/715239286409400322
facIubeband;2016-03-30 15:08;0;0;"Jiang e Raul comentam o 3º Ep de #MasterChefBR 3 da @BandTV ! + no @portaldaband aqui➛ http:// entretenimento.band.uol.com.br/masterchef/201 6/videos/ultimos-videos/15814573/quentinha-jiang-e-raul-comentam-o-terceiro-episodio-do-masterchef-.html …";;@BandTV @portaldaband;#MasterChefBR;"715239286359109635";https://twitter.com/facIubeband/status/715239286359109635
masterchefbr;2016-03-30 15:00;41;207;"Conte-me mais sobre isso, chef! #MasterChefBR pic.twitter.com/O81VJMLoni";;;#MasterChefBR;"715237300914036736";https://twitter.com/masterchefbr/status/715237300914036736
UmTalTiago;2016-03-30 14:57;0;0;"Esse ano tô assistindo #MasterChefBR no horário do programa e sei exatamente o que a @caradeanu tá passando por assistir no dia seguinte.";;@caradeanu;#MasterChefBR;"715236627027779585";https://twitter.com/UmTalTiago/status/715236627027779585
caradeanu;2016-03-30 14:55;0;2;"Acho que nunca simpatizei com tantos candidatos juntos quanto nessa temporada. Vontade de abraçar o Nuno. #MasterChefBR";;;#MasterChefBR;"715235985387352064";https://twitter.com/caradeanu/status/715235985387352064
MestreDjHugo;2016-03-30 14:54;0;0;"Aí meu coração. O irmão da menina foi assassinado! #MasterChefBR";;;#MasterChefBR;"715235817573257218";https://twitter.com/MestreDjHugo/status/715235817573257218
